Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0,-0.0394294,0,0,0,1.4258135,0.0020535,-8.4E-06,0,0.0005015,0,0.0018257,0,0,0,0,0,0,package://hi_25dof_250820/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250820/meshes/base_link.STL,,HI_下半身装配_V1.00716urdf-1/1206_HI_腿部base_V1.00716-2/1206_HI_6056电机固定板下板1_V1.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部base_V1.00716-2/HI-腿部固定板0716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部base_V1.00716-2/髋关节限位-2;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部base_V1.00716-2/髋关节限位-3;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部base_V1.00716-2/6056交叉滚子版本模组-1.10716step-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部base_V1.00716-2/6056交叉滚子版本模组-1.10716step-2,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_hip_pitch_Link,0.0003884,0.067835,8.28E-05,0,0,0,0.66505,0.0001924,-8E-07,1E-07,0.0001895,-5E-07,0.0002239,0,0,0,0,0,0,package://hi_25dof_250820/meshes/l_hip_pitch_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250820/meshes/l_hip_pitch_Link.STL,,HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/1206_HI_6056髋关节前法兰Pitch_V1.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/1206_HI_6056髋关节后法兰Pitch_V1.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/1206_HI_6056髋关节前输出Pitch_V1.00716-2;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/1206_HI_6056电机正装_V1.00716-2,|_hip_pitch_link,A_|_hip_pitch_link,l_hip_pitch_joint,revolute,0,0.0295,-0.04,0,0,0,base_link,0,1,0,32.4,5.55,-3.0369,3.0369,,,,,,,,
l_hip_roll_Link,0.0009598,0.0001312,-0.081116,0,0,0,0.78331,0.00126,1E-06,-5.05E-05,0.0014624,1.3E-06,0.0004951,0,0,0,0,0,0,package://hi_25dof_250820/meshes/l_hip_roll_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hi_25dof_250820/meshes/l_hip_roll_Link.STL,,HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/0221_HI_6056髋5号关节前法兰_V2.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/0108_HI_6056髋关节后法兰Roll_2.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/0108_HI_6056髋关节后法兰Yaw_V2.00716-2;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/6056交叉滚子版本模组-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/腿部限位件-1,|_hip_roll_link,A_|_hip_roll_link,l_hip_roll_joint,revolute,0,0.07,0,0,0,0,l_hip_pitch_Link,1,0,0,32.4,5.55,-0.45379,2.618,,,,,,,,
l_hip_thigh_Link,0,-0.00080909,-0.059296,0,0,0,0.24756,0.0003962,0,0,0.0002476,-7.7E-06,0.0002689,0,0,0,0,0,0,package://hi_25dof_250820/meshes/l_hip_thigh_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250820/meshes/l_hip_thigh_Link.STL,,HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/0108_HI_6056髋关节前输出Yaw_V2.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/HTH 02A-05-01A-三号电机限位0716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/0108_HI_6056髋关节前法兰Yaw_V2.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/0108_HI_6056髋关节后法兰Yaw_V2.00716-3,|_hip_thigh_link,A_|_hip_thigh_link,l_hip_thigh_joint,revolute,0,0,-0.095,0,0,0,l_hip_roll_Link,0,0,1,32.4,5.55,-0.7854,0.7854,,,,,,,,
l_hip_caif_Link,0.0010123,-0.0024674,-0.064494,0,0,0,1.6427,0.0060015,9.6E-06,6.34E-05,0.0060609,-0.0001427,0.000548,0,0,0,0,0,0,package://hi_25dof_250820/meshes/l_hip_caif_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250820/meshes/l_hip_caif_Link.STL,,HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/HI_小腿梁左0715-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/HT 5047电机（侧装版本）-2;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/HI_左小腿前板0814-2;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/HI_踝关节输出0604改-2;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/HI_踝关节输出0604改-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/HI_小腿后支撑0604-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/1206_HI_6056髋关节后输出Yaw_V1.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/HI_小腿踝骨0604-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/6056侧装-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/HT 5047电机（侧装版本）垂直出线urdf-1,|_hip_calf_link,A_|_hip_calf_link,l_hip_caif_joint,revolute,0,0.00375,-0.097,0,0,0,l_hip_thigh_Link,0,1,0,32.4,5.55,-1.5708,2.0944,,,,,,,,
l_ankle_pitch_Link,0,0,0,0,0,0,0.056538,4.9E-06,0,0,4.7E-06,0,6.3E-06,0,0,0,0,0,0,package://hi_25dof_250820/meshes/l_ankle_pitch_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250820/meshes/l_ankle_pitch_Link.STL,,HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/HI_脚部十字轴0715-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/hiplus腰-10-22-6-7900A5DBDF02050604-7;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/销轴M8_400604-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/轴套8_14_20604-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/轴套8_14_20604-2;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/hiplus腰-10-22-6-7900A5DBDF02050604-6;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/轴套8_10_70604-2;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/轴套8_10_70604-1,|_ankle_pitch_link,A_|_ankle_pitch_link,l_ankle_pitch_joint,revolute,0,-0.00375,-0.19945,0,0,0,l_hip_caif_Link,0,1,0,14.4,5.45,-0.90757,0.7854,,,,,,,,
l_ankle_roll_Link,0.017291,0.00079987,-0.030752,0,0,0,0.59911,0.0002441,1.5E-06,7.38E-05,0.0013825,-1.25E-05,0.0014328,0,0,0,0,0,0,package://hi_25dof_250820/meshes/l_ankle_roll_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250820/meshes/l_ankle_roll_Link.STL,,HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/HI_左脚掌上半前0715-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/HI_左脚掌上半后0715-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/HT-Hi-01A-FOOT-01A-脚掌-1/HT-Hi-01A-FOOT-01A-脚掌铝合金件-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/hiplus腰-10-22-6-7900A5DBDF02050604-2;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/hiplus腰-10-22-6-7900A5DBDF02050604-5;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部右_V3.00716-1/hi小腿左0604-1/HT-Hi-01A-FOOT-01A-脚掌-1/HT-Hi-01A-FOOT-01A-脚掌鞋垫-1,|_ankle_roll_link,A_|_ankle_roll_link,l_ankle_roll_joint,revolute,0,0,0,0,0,0,l_ankle_pitch_Link,1,0,0,14.4,5.45,-0.37525,0.37525,,,,,,,,
r_hip_pitch_Link,0.0003884,-0.067835,-8.28E-05,0,0,0,0.66505,0.0001924,8E-07,-1E-07,0.0001895,-5E-07,0.0002239,0,0,0,0,0,0,package://hi_25dof_250820/meshes/r_hip_pitch_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250820/meshes/r_hip_pitch_Link.STL,,HI_下半身装配_V1.00716urdf-1/1206_HI_腿部左_V3.00716-1/1206_HI_6056髋关节前法兰Pitch_V1.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部左_V3.00716-1/1206_HI_6056髋关节前输出Pitch_V1.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部左_V3.00716-1/1206_HI_6056髋关节后法兰Pitch_V1.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部左_V3.00716-1/1206_HI_6056电机正装_V1.00716-2,r_hip_pitch_link,A_r_hip_pitch_link,r_hip_pitch_joint,revolute,0,-0.0295,-0.04,0,0,0,base_link,0,1,0,32.4,5.55,-3.0369,3.0369,,,,,,,,
r_hip_roll_Link,0.0009598,-0.0001312,-0.081116,0,0,0,0.78331,0.00126,1E-06,-5.05E-05,0.0014624,-1.3E-06,0.0004951,0,0,0,0,0,0,package://hi_25dof_250820/meshes/r_hip_roll_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hi_25dof_250820/meshes/r_hip_roll_Link.STL,,HI_下半身装配_V1.00716urdf-1/1206_HI_腿部左_V3.00716-1/0221_HI_6056髋5号关节前法兰_V2.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部左_V3.00716-1/0108_HI_6056髋关节后法兰Yaw_V2.00716-2;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部左_V3.00716-1/0108_HI_6056髋关节后法兰Roll_2.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部左_V3.00716-1/腿部限位件-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部左_V3.00716-1/6056交叉滚子版本模组-1,r_hip_roll_link,A_r_hip_roll_link,r_hip_roll_joint,revolute,0,-0.07,0,0,0,0,r_hip_pitch_Link,1,0,0,32.4,5.55,-2.618,0.45379,,,,,,,,
r_hip_thigh_Link,0,0.00080909,-0.059296,0,0,0,0.24756,0.0003962,0,0,0.0002476,7.7E-06,0.0002689,0,0,0,0,0,0,package://hi_25dof_250820/meshes/r_hip_thigh_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://hi_25dof_250820/meshes/r_hip_thigh_Link.STL,,HI_下半身装配_V1.00716urdf-1/1206_HI_腿部左_V3.00716-1/0108_HI_6056髋关节前输出Yaw_V2.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部左_V3.00716-1/HTH 02A-05-01A-三号电机限位0716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部左_V3.00716-1/0108_HI_6056髋关节前法兰Yaw_V2.00716-1;HI_下半身装配_V1.00716urdf-1/1206_HI_腿部左_V3.00716-1/0108_HI_6056髋关节后法兰Yaw_V2.00716-3,r_hip_thigh_link,A_r_hip_thigh_link,r_hip_thigh_joint,revolute,0,0,-0.095,0,0,0,r_hip_roll_Link,0,0,1,32.4,5.55,-0.7854,0.7854,,,,,,,,
